name,age,gender,user_name,monster_card,monster_description,price
Marissa,32,female,robertbates,mummy-lord,humanoid (human),16.0
Lori,11,female,reevesmegan,imix,beast,7.33
Lisa,46,female,tabitha94,hobgoblin-warlord,beast,19.64
Tami,61,female,jamesrodriguez,darkling-elder,dragon,15.16
Jessica,30,female,crawfordcharles,archmage,beast,1.23
Jessica,55,female,stevenrichards,tyrannosaurus-rex,aberration,1.15
Gina,58,female,ecrosby,minotaur-skeleton,undead (titan),12.33
Donna,55,female,tabitha94,swarm-of-poisonous-snakes,humanoid (human),9.49
Anna,33,female,hatfieldallen,drow,"fiend (demon, orc)",2.81
Stacy,4,female,crawfordcharles,imix,fiend (devil),18.28
Sandra,73,female,christopher53,archmage,beast,3.71
Morgan,15,female,ilarson,magmin,undead,19.58
Laura,13,female,nicole31,magmin,fiend (demon),17.35
Gabriela,28,female,qbennett,galeb-duhr,humanoid (dwarf),14.95
Kelsey,78,female,ilarson,shadow-demon,beast,17.97
Lindsay,72,female,jamesrodriguez,bugbear-chief,fiend,5.26
Mary,77,female,zcharles,giant-constrictor-snake,"fiend (demon, shapechanger)",7.9
Jennifer,67,female,taylor07,minotaur-skeleton,beast,10.26
Jessica,68,female,nelsonkevin,hobgoblin-warlord,fiend,18.96
Catherine,44,female,rita19,werewolf,monstrosity,19.24
Ashley,16,female,nelsonkevin,young-kruthik,beast,18.26
Stephanie,61,female,zmcmillan,minotaur-skeleton,fiend (devil),6.1
Erin,14,female,hatfieldallen,hobgoblin-warlord,aberration (shapechanger),9.44
Laurie,15,female,xbarker,shadow-demon,giant,1.59
Valerie,14,female,rita19,galeb-duhr,humanoid (kuo-toa),15.64
Cheryl,45,female,rita19,wight,monstrosity,14.56
Kelly,79,female,xbarker,werewolf,giant,19.21
Jennifer,49,female,nelsonkevin,giant-constrictor-snake,giant,10.17
Emily,70,female,kristinle,shadow-demon,fiend (demon),1.52
Kayla,17,female,kathryn75,swarm-of-poisonous-snakes,beast,10.88
Marcia,57,female,mcdowellelizabeth,mummy-lord,fiend (devil),15.62
Theresa,67,female,reevesmegan,archmage,humanoid (human),9.67
Margaret,62,female,zachary04,hobgoblin-warlord,humanoid (any race),10.46
Erin,39,female,ymaxwell,spy,humanoid (any race),19.25
Molly,7,female,stevenrichards,giant-constrictor-snake,dragon,6.85
Lisa,22,female,rrobinson,wight,construct,14.1
Deborah,70,female,taylor07,drow,giant,9.48
Sheila,70,female,xbarker,magmin,monstrosity,16.74
Angela,13,female,diane20,shadow-demon,humanoid (human),12.0
Susan,52,female,kathryn75,drow,humanoid (human),18.07
Joanne,26,female,diane20,archmage,dragon,5.69
Lisa,18,female,ecrosby,mummy-lord,beast,10.93
Alexandra,19,female,todd72,minotaur-skeleton,humanoid (any race),6.62
Amanda,43,female,zcharles,drow,celestial,15.45
Lisa,72,female,tabitha94,hobgoblin-warlord,beast,12.97
Ashley,24,female,pbrown,hobgoblin-warlord,humanoid (nagpa),7.29
Mary,25,female,johnsonmichael,archmage,fiend,5.94
Meredith,49,female,lewispatricia,mummy-lord,fiend (demon),19.61
Cassidy,71,female,qbennett,spy,beast,8.51
Laura,53,female,fcrosby,drow,humanoid (elf),16.95
Debra,48,female,robertbates,swarm-of-poisonous-snakes,plant,12.07
Sandra,58,female,robertbates,darkling-elder,humanoid (human),6.19
Nicole,34,female,qbennett,galeb-duhr,monstrosity,2.33
Samantha,42,female,todd72,shadow-demon,dragon,14.27
Emily,11,female,lewispatricia,wight,humanoid (any race),5.86
Teresa,15,female,reevesmegan,magmin,humanoid (human),12.08
Amanda,49,female,kathryn75,werewolf,humanoid (goblinoid),9.48
Laura,15,female,tabitha94,bugbear-chief,construct,10.06
Gail,60,female,stevenrichards,werewolf,giant,10.94
Kimberly,5,female,crawfordcharles,giant-constrictor-snake,giant (fire giant),12.67
Nancy,6,female,pbrown,warhorse-skeleton,humanoid (goblinoid),4.09
Anita,33,female,hatfieldallen,werewolf,celestial,16.7
Patricia,30,female,nicole31,mummy-lord,monstrosity,14.98
Taylor,53,female,kimberlybutler,spy,plant,6.22
Patty,48,female,fcrosby,werewolf,aberration,1.6
Alice,34,female,xbarker,shadow-demon,giant (storm giant),3.89
Angela,57,female,kristinle,giant-constrictor-snake,humanoid (xvart),18.1
Sarah,77,female,ilarson,minotaur-skeleton,humanoid (kuo-toa),12.21
Kristin,58,female,kathryn75,owlbear,fiend (demon),12.63
Haley,77,female,rjones,spy,construct,14.99
Melanie,79,female,zcharles,spy,beast,10.95
Rose,57,female,zcharles,imix,construct,15.52
Lisa,34,female,zachary04,giant-constrictor-snake,aberration,8.44
Alicia,60,female,nelsonkevin,wight,fiend,6.74
Joy,55,female,kimberlybutler,magmin,giant (frost giant),17.93
Colleen,50,female,kathryn75,magmin,beast,14.75
Hannah,39,female,april74,hobgoblin-warlord,plant,15.43
Frances,27,female,todd72,galeb-duhr,undead,7.74
Jasmine,46,female,hatfieldallen,warhorse-skeleton,humanoid (any race),14.78
Melissa,62,female,johnsonmichael,bugbear-chief,elemental,14.37
Amanda,7,female,rrobinson,magmin,monstrosity,7.08
Brandi,30,female,robertbates,warhorse-skeleton,fiend (demon),9.14
Heather,7,female,xbarker,mummy-lord,aberration,15.82
Natasha,50,female,stevenrichards,galeb-duhr,undead,7.06
Anne,26,female,jamesrodriguez,tyrannosaurus-rex,beast,10.06
Deborah,69,female,kathryn75,minotaur-skeleton,humanoid (any race),7.51
Caitlin,38,female,xbarker,warhorse-skeleton,celestial,14.76
Lisa,26,female,kathryn75,minotaur-skeleton,beast,11.08
Kristina,15,female,pbrown,tyrannosaurus-rex,undead,7.53
Katherine,78,female,stevenrichards,giant-constrictor-snake,dragon,2.99
Angela,66,female,xbarker,owlbear,giant,9.07
Rachel,10,female,pbrown,young-kruthik,undead,19.66
Nicole,72,female,jamesrodriguez,wight,undead (shapechanger),16.47
Megan,45,female,stevenrichards,magmin,fiend (demon),4.51
Sara,39,female,qbennett,tyrannosaurus-rex,beast,11.45
Jennifer,64,female,reevesmegan,wight,celestial,19.09
Emily,38,female,rjones,shadow-demon,monstrosity,13.28
Kimberly,51,female,qbennett,shadow-demon,fiend (yugoloth),13.04
Lori,46,female,taylor07,shadow-demon,monstrosity,14.81
Laura,31,female,zachary04,galeb-duhr,humanoid (any race),10.51
Michelle,21,female,jamesrodriguez,archmage,humanoid (any race),12.65
Carolyn,36,female,hatfieldallen,bugbear-chief,aberration,16.62
Jessica,25,female,hatfieldallen,galeb-duhr,fiend (demon),14.1
Kathryn,21,female,reevesmegan,wight,humanoid (any race),13.39
Brenda,77,female,morenoellen,young-kruthik,"fiend (demon, shapechanger)",1.57
Kathryn,72,female,crawfordcharles,werewolf,humanoid (dwarf),7.35
Karen,70,female,ymaxwell,warhorse-skeleton,plant,8.1
Laura,74,female,stevenrichards,swarm-of-poisonous-snakes,elemental,5.88
Elizabeth,75,female,taylor07,magmin,elemental,11.87
Destiny,20,female,rita19,tyrannosaurus-rex,fiend (yugoloth),7.59
Brenda,20,female,christopher53,tyrannosaurus-rex,humanoid (any race),17.11
Bonnie,65,female,ilarson,warhorse-skeleton,aberration (shapechanger),16.61
Wendy,22,female,kristinle,wight,fiend (demon),11.24
Mary,66,female,nelsonkevin,magmin,humanoid (human),13.51
Wendy,5,female,johnsonmichael,bugbear-chief,monstrosity,19.75
Debbie,36,female,todd72,mummy-lord,undead,5.99
Emily,33,female,lewispatricia,galeb-duhr,beast,16.32
Elizabeth,73,female,zmcmillan,shadow-demon,humanoid (any race),17.25
Brittney,23,female,todd72,spy,humanoid (goblinoid),17.33
Mackenzie,72,female,hatfieldallen,galeb-duhr,beast,15.8
Tracey,47,female,robertbates,hobgoblin-warlord,monstrosity,14.59
Joy,35,female,crawfordcharles,giant-constrictor-snake,undead,15.95
Deborah,72,female,todd72,hobgoblin-warlord,fiend,11.27
Jackie,67,female,stevenrichards,magmin,beast,13.88
Amber,56,female,ilarson,werewolf,fiend (devil),11.62
Hannah,12,female,rita19,imix,construct,11.62
Rachel,60,female,april74,hobgoblin-warlord,beast,18.39
Michele,28,female,ecrosby,mummy-lord,aberration,5.38
Alexa,20,female,pbrown,giant-constrictor-snake,fiend (devil),11.47
Amanda,5,female,rrobinson,young-kruthik,dragon,5.69
Lisa,23,female,robertbates,young-kruthik,fiend (demon),2.37
Chelsey,22,female,april74,giant-constrictor-snake,humanoid (human),6.01
Samantha,71,female,iadams,warhorse-skeleton,fey,1.93
Valerie,40,female,zmcmillan,darkling-elder,fey,10.93
Marissa,73,female,iadams,young-kruthik,humanoid (dwarf),6.72
Megan,21,female,rita19,bugbear-chief,swarm of Tiny beasts,19.73
Rebekah,66,female,zachary04,young-kruthik,beast,6.29
Emily,20,female,zachary04,werewolf,fiend (devil),15.59
Tammy,35,female,fcrosby,owlbear,beast,4.72
Susan,7,female,nicole31,shadow-demon,humanoid (tortle),18.69
Jennifer,62,female,fcrosby,young-kruthik,beast,8.97
Taylor,37,female,kathryn75,swarm-of-poisonous-snakes,humanoid (shapechanger),6.53
Jill,30,female,stevenrichards,giant-constrictor-snake,fiend (demon),12.63
Kelly,16,female,zachary04,minotaur-skeleton,elemental,9.78
Tina,44,female,qbennett,mummy-lord,fiend (demon),15.83
Lynn,46,female,ymaxwell,wight,giant,13.28
Felicia,8,female,todd72,minotaur-skeleton,dragon,1.37
Chloe,37,female,april74,hobgoblin-warlord,humanoid (elf),5.89
Tiffany,50,female,rita19,magmin,dragon,11.73
Emily,60,female,taylor07,mummy-lord,fiend (yugoloth),11.99
Jennifer,80,female,crawfordcharles,imix,beast,1.3
Holly,20,female,pbrown,giant-constrictor-snake,fiend (yugoloth),6.24
Jessica,67,female,zmcmillan,archmage,monstrosity,13.4
Jasmine,45,female,tabitha94,drow,undead,17.37
Todd,55,male,jessica82,hobgoblin-warlord,humanoid (any race),2.22
Michael,16,male,patelkathy,owlbear,elemental,11.63
David,38,male,jessica82,spy,beast,6.71
Timothy,11,male,clawrence,werewolf,humanoid (goblinoid),10.55
Lawrence,6,male,amanda97,spy,fey,1.38
Jesse,70,male,brittney82,mummy-lord,dragon,16.35
Ian,18,male,edwardstricia,warhorse-skeleton,monstrosity,4.98
Jordan,43,male,oscarsmith,shadow-demon,beast,10.13
Timothy,72,male,brandy94,magmin,beast,6.5
Clayton,24,male,zestrada,tyrannosaurus-rex,elemental,9.68
James,12,male,jacqueline43,archmage,"humanoid (human, shapechanger)",2.35
Jesse,6,male,edwardstricia,bugbear-chief,humanoid (lizardfolk),7.33
Thomas,76,male,glopez,archmage,undead (shapechanger),7.21
Roy,13,male,oscarsmith,mummy-lord,humanoid (xvart),7.76
Richard,56,male,nbernard,mummy-lord,humanoid (human),2.51
Casey,41,male,zestrada,minotaur-skeleton,elemental,4.62
James,34,male,christophercarter,minotaur-skeleton,monstrosity,6.18
Timothy,46,male,amanda97,drow,fey,7.41
Jason,28,male,brittney82,archmage,beast,11.85
Lee,11,male,edwardstricia,tyrannosaurus-rex,humanoid (any race),13.3
David,34,male,jhernandez,tyrannosaurus-rex,construct,7.03
Gabriel,20,male,christophercarter,darkling-elder,undead,12.99
Jeremy,40,male,myersmark,warhorse-skeleton,undead (titan),3.87
Erik,42,male,michelle32,werewolf,ooze,14.08
Matthew,50,male,jessica82,owlbear,elemental,15.8
Mario,31,male,williamsfrederick,galeb-duhr,humanoid (any race),19.28
Robert,69,male,luislane,magmin,fiend (devil),9.33
Nathan,5,male,robert10,giant-constrictor-snake,monstrosity,4.09
Justin,60,male,johnsonvicki,giant-constrictor-snake,fiend,6.63
Christopher,4,male,linda70,warhorse-skeleton,construct,19.52
Jerry,16,male,lee93,galeb-duhr,humanoid (any race),5.66
Peter,67,male,leeolivia,tyrannosaurus-rex,humanoid (dwarf),12.15
Jerry,32,male,christophercarter,magmin,fiend (demon),2.13
Christopher,16,male,bethanybailey,darkling-elder,undead (titan),19.68
Jesus,70,male,jonathan09,darkling-elder,humanoid (any race),8.89
John,25,male,marysanders,magmin,monstrosity,5.46
Maurice,22,male,ricardocunningham,darkling-elder,beast,3.87
Ryan,51,male,uharris,drow,beast,5.16
Anthony,3,male,carlawatson,minotaur-skeleton,fiend,11.58
Eric,61,male,bethanybailey,mummy-lord,humanoid (human),12.04
Daniel,32,male,hscott,owlbear,aberration,15.66
Casey,13,male,christophercarter,wight,monstrosity,15.42
Todd,79,male,connerruth,wight,construct,17.49
Kerry,24,male,gonzalezveronica,werewolf,beast,16.49
Collin,40,male,gaillowe,owlbear,beast,14.16
William,44,male,maryhall,archmage,monstrosity,4.88
Seth,71,male,paynejennifer,tyrannosaurus-rex,humanoid (orc),8.27
Jake,49,male,sheilabarker,imix,elemental,17.24
Eddie,63,male,lozanoandrew,swarm-of-poisonous-snakes,plant,12.92
Kevin,54,male,brittney82,archmage,dragon,3.93
Jeffrey,62,male,myersmark,young-kruthik,humanoid (tortle),18.82
John,72,male,marysanders,galeb-duhr,beast,2.68
Tony,28,male,christophercarter,swarm-of-poisonous-snakes,fiend (demon),13.1
Kenneth,8,male,robert10,young-kruthik,humanoid (elf),14.18
Ralph,64,male,carrie58,spy,beast,16.02
Tyler,70,male,amanda97,drow,fiend (demon),11.1
Brendan,51,male,jacqueline43,owlbear,beast,10.23
Zachary,29,male,bethanybailey,darkling-elder,monstrosity,7.61
William,25,male,ytapia,imix,humanoid (tortle),19.71
Scott,16,male,ricardocunningham,swarm-of-poisonous-snakes,elemental,5.18
Brian,49,male,vargasdiana,darkling-elder,giant,2.44
Charles,73,male,marysanders,owlbear,elemental,3.39
Carl,74,male,bethanybailey,shadow-demon,fiend,11.08
John,78,male,michelle32,warhorse-skeleton,"monstrosity (shapechanger, yuan-ti)",16.69
Sean,5,male,clawrence,young-kruthik,humanoid (any race),6.19
Shawn,41,male,jacqueline43,minotaur-skeleton,plant,9.96
Alex,5,male,gramirez,minotaur-skeleton,dragon,3.16
Richard,36,male,carrie58,young-kruthik,beast,11.64
Daniel,15,male,richardsonlaura,tyrannosaurus-rex,monstrosity,1.53
Erik,30,male,bethanybailey,shadow-demon,fey,4.87
David,22,male,connerruth,spy,dragon,1.71
Terry,54,male,jhernandez,young-kruthik,beast,15.95
Jeff,73,male,robert10,minotaur-skeleton,humanoid (any race),3.76
William,36,male,zestrada,magmin,dragon,1.56
Edward,8,male,williamsfrederick,minotaur-skeleton,aberration,8.51
Ian,36,male,barnettbruce,wight,humanoid (any race),6.66
David,35,male,richardsonlaura,tyrannosaurus-rex,"monstrosity (shapechanger, yuan-ti)",10.87
Erik,31,male,myersmark,shadow-demon,undead,8.32
Daniel,10,male,ytapia,owlbear,humanoid (any race),2.43
Eric,79,male,gaillowe,magmin,monstrosity,12.99
Patrick,25,male,iswanson,owlbear,elemental,12.7
Joseph,16,male,trevorwilliams,archmage,humanoid (grimlock),17.4
William,8,male,joelsalinas,swarm-of-poisonous-snakes,fey,3.4
Joseph,65,male,jonesmiguel,shadow-demon,undead,10.63
Nicholas,49,male,manueladams,magmin,elemental,6.45
David,67,male,wleonard,young-kruthik,humanoid (gnoll),9.09
Tyler,41,male,schmidtmary,darkling-elder,giant,8.76
Michael,80,male,carrie58,magmin,humanoid (lizardfolk),13.55
Cody,44,male,zestrada,young-kruthik,humanoid (any race),8.49
Lee,39,male,ytapia,owlbear,humanoid (derro),6.28
Andrew,37,male,tina44,spy,dragon,11.69
